,Country,Age,Gender,Salary,FormalEducation
254,United States,18 - 24 years old,Male,60000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
259,United States,25 - 34 years old,Male,105000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
264,United States,25 - 34 years old,Male,100000.0,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
269,United States,18 - 24 years old,Female,52000.0,Some college/university study without earning a degree
272,United States,25 - 34 years old,Male,140000.0,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
277,United States,25 - 34 years old,Male,59500.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
300,United States,25 - 34 years old,Male,72500.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
308,United States,35 - 44 years old,Male,185000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
312,United States,25 - 34 years old,Male,125000.0,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
313,United States,25 - 34 years old,Male,500.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
316,United States,18 - 24 years old,Male,32000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
328,United States,35 - 44 years old,Male,235000.0,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
335,United States,25 - 34 years old,Male,125000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
341,United States,25 - 34 years old,Male,155000.0,Some college/university study without earning a degree
347,United States,35 - 44 years old,Female,113000.0,"Other doctoral degree (Ph.D, Ed.D., etc.)"
348,United States,18 - 24 years old,Female,127000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
350,United States,18 - 24 years old,Male,47000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
351,United States,35 - 44 years old,Male,110000.0,Some college/university study without earning a degree
354,United States,18 - 24 years old,Male,200.0,Associate degree
355,United States,35 - 44 years old,Female,64000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
358,United States,25 - 34 years old,Male,90000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
362,United States,25 - 34 years old,Male,140000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
363,United States,35 - 44 years old,Male,96000.0,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
371,United States,25 - 34 years old,Male,94600.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
387,United States,18 - 24 years old,Male,105000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
390,United States,25 - 34 years old,Male,80000.0,"Other doctoral degree (Ph.D, Ed.D., etc.)"
401,United States,25 - 34 years old,Male,106000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
406,United States,25 - 34 years old,Female,50000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
421,United States,45 - 54 years old,Male,90000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
422,United States,25 - 34 years old,Male,91000.0,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
424,United States,35 - 44 years old,Male,112000.0,Some college/university study without earning a degree
427,United States,35 - 44 years old,Male,120000.0,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
428,United States,45 - 54 years old,Male,130000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
430,United States,35 - 44 years old,Male,78000.0,Some college/university study without earning a degree
445,United States,25 - 34 years old,Male,75000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
453,United States,25 - 34 years old,Male,70000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
465,United States,18 - 24 years old,Male,58000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
466,United States,25 - 34 years old,Male,280000.0,"Other doctoral degree (Ph.D, Ed.D., etc.)"
469,United States,25 - 34 years old,Male,53000.0,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
472,United States,35 - 44 years old,Male,162100.0,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
473,United States,25 - 34 years old,Male,68000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
474,United States,18 - 24 years old,Female,75000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
487,United States,25 - 34 years old,Male,80000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
523,United States,25 - 34 years old,Male,72500.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
530,United States,25 - 34 years old,Male,115000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
536,United States,25 - 34 years old,Male,80000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
537,United States,35 - 44 years old,Male,136500.0,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
552,United States,45 - 54 years old,Male,110000.0,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
555,United States,45 - 54 years old,Male,105000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
565,United States,25 - 34 years old,Male,55000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
569,United States,25 - 34 years old,Male,150150.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
572,United States,25 - 34 years old,Male,63000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
574,United States,45 - 54 years old,Male,127000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
584,United States,35 - 44 years old,Male,130000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
608,United States,25 - 34 years old,Male,85000.0,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
613,United States,25 - 34 years old,Male,175000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
616,United States,25 - 34 years old,Male,58000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
618,United States,18 - 24 years old,Male,30000.0,Some college/university study without earning a degree
622,United States,25 - 34 years old,Male,125000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
632,United States,35 - 44 years old,Male,200000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
634,United States,35 - 44 years old,Male,140000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
637,United States,55 - 64 years old,Male,142000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
638,United States,25 - 34 years old,Male,88000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
654,United States,18 - 24 years old,Male,50000.0,Some college/university study without earning a degree
655,United States,18 - 24 years old,Male,110000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
670,United States,25 - 34 years old,Male,83000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
671,United States,25 - 34 years old,Male,72000.0,Some college/university study without earning a degree
674,United States,18 - 24 years old,Male,53000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
675,United States,25 - 34 years old,Female,85000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
678,United States,25 - 34 years old,Male,75000.0,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
690,United States,25 - 34 years old,Male,72000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
700,United States,35 - 44 years old,Female,120000.0,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
702,United States,18 - 24 years old,Male,107000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
705,United States,25 - 34 years old,Male,110000.0,Some college/university study without earning a degree
708,United States,25 - 34 years old,Male,85000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
712,United States,25 - 34 years old,Male,96000.0,Associate degree
717,United States,35 - 44 years old,Male,60000.0,Some college/university study without earning a degree
718,United States,25 - 34 years old,Male,94000.0,Some college/university study without earning a degree
721,United States,18 - 24 years old,Male,130.0,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)"
727,United States,25 - 34 years old,Male,76000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
751,United States,25 - 34 years old,Male,95000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
754,United States,25 - 34 years old,Female,80000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
760,United States,18 - 24 years old,Male,4200.0,Some college/university study without earning a degree
766,United States,35 - 44 years old,Male,130000.0,Some college/university study without earning a degree
767,United States,25 - 34 years old,Male,141000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
775,United States,25 - 34 years old,Male,40000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
776,United States,25 - 34 years old,Male,102000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
784,United States,25 - 34 years old,Female,75000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
795,United States,35 - 44 years old,Female,130000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
799,United States,25 - 34 years old,Male,87000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
802,United States,35 - 44 years old,Female,300000.0,"Other doctoral degree (Ph.D, Ed.D., etc.)"
818,United States,25 - 34 years old,Male,150000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
819,United States,35 - 44 years old,Male,132000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
822,United States,45 - 54 years old,Transgender,107000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
827,United States,35 - 44 years old,Male,115000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
840,United States,35 - 44 years old,Male,102000.0,Some college/university study without earning a degree
843,United States,25 - 34 years old,Male,122300.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
847,United States,18 - 24 years old,Male,68500.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
861,United States,18 - 24 years old,Male,94000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
863,United States,25 - 34 years old,Male,120000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
866,United States,45 - 54 years old,Male,170000.0,Some college/university study without earning a degree
883,United States,18 - 24 years old,Male,60000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
904,United States,18 - 24 years old,Male,100000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
908,United States,35 - 44 years old,Male,115000.0,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
916,United States,25 - 34 years old,Male,41276.0,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
921,United States,35 - 44 years old,Male,200000.0,Some college/university study without earning a degree
934,United States,25 - 34 years old,Male,80000.0,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
939,United States,25 - 34 years old,Male,120000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
940,United States,25 - 34 years old,Male,130000.0,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
943,United States,25 - 34 years old,Male,57000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
951,United States,25 - 34 years old,Female;Transgender,85000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
954,United States,45 - 54 years old,Male,92000.0,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)"
956,United States,45 - 54 years old,Male,140000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
966,United States,25 - 34 years old,Female,105000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
989,United States,25 - 34 years old,Male,37000.0,Some college/university study without earning a degree
996,United States,35 - 44 years old,Male,94000.0,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
1010,United States,25 - 34 years old,Male,140800.0,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
1013,United States,25 - 34 years old,Male,69000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
1014,United States,25 - 34 years old,Male,95000.0,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
1015,United States,25 - 34 years old,Male,78000.0,Some college/university study without earning a degree
1023,United States,35 - 44 years old,Male,130000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
1037,United States,25 - 34 years old,Male,65000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
1041,United States,25 - 34 years old,Male,95000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
1043,United States,25 - 34 years old,Male,112000.0,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
1046,United States,25 - 34 years old,Male,300.0,Some college/university study without earning a degree
1049,United States,35 - 44 years old,Male,110000.0,Some college/university study without earning a degree
1059,United States,18 - 24 years old,Male,10000.0,Some college/university study without earning a degree
1061,United States,25 - 34 years old,Male,43500.0,Some college/university study without earning a degree
1062,United States,18 - 24 years old,Male,20857.0,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)"
1064,United States,25 - 34 years old,Male,65000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
1079,United States,55 - 64 years old,Male,154000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
1083,United States,25 - 34 years old,Male,60000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
1088,United States,35 - 44 years old,Male,240000.0,Some college/university study without earning a degree
1089,United States,45 - 54 years old,Male,160000.0,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
1091,United States,25 - 34 years old,Male,143000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
1099,United States,35 - 44 years old,Male,130000.0,Some college/university study without earning a degree
1100,United States,55 - 64 years old,Male,130000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
1105,United States,25 - 34 years old,Male,20000.0,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
1108,United States,25 - 34 years old,Female,70000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
1110,United States,35 - 44 years old,Male,120000.0,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
1129,United States,18 - 24 years old,Female,64000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
1138,United States,25 - 34 years old,Male,74000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
1159,United States,25 - 34 years old,Male,68000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
1160,United States,25 - 34 years old,Male,87500.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
1161,United States,18 - 24 years old,Male,40000.0,Some college/university study without earning a degree
1172,United States,35 - 44 years old,Male,90000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
1176,United States,25 - 34 years old,Male,54000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
1183,United States,25 - 34 years old,Male,135000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
1185,United States,25 - 34 years old,Male,122000.0,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
1211,United States,35 - 44 years old,Male,139000.0,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
1217,United States,25 - 34 years old,Male,95000.0,Some college/university study without earning a degree
1224,United States,25 - 34 years old,Male,140000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
1229,United States,25 - 34 years old,Male,80000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
1230,United States,18 - 24 years old,Male,75000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
1231,United States,25 - 34 years old,Male,93000.0,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
1234,United States,25 - 34 years old,Male,71000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
1240,United States,25 - 34 years old,Male,160000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
1247,United States,25 - 34 years old,Male,110000.0,Some college/university study without earning a degree
1255,United States,35 - 44 years old,Male,68000.0,Associate degree
1256,United States,25 - 34 years old,Male,154000.0,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
1260,United States,18 - 24 years old,Male,72000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
1261,United States,25 - 34 years old,Male,65000.0,Some college/university study without earning a degree
1268,United States,35 - 44 years old,Female;Transgender,125000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
1273,United States,45 - 54 years old,Male,75000.0,Associate degree
1277,United States,18 - 24 years old,Male,60000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
1278,United States,25 - 34 years old,Male,80000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
1279,United States,25 - 34 years old,Male,90000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
1280,United States,25 - 34 years old,Male,70000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
1291,United States,18 - 24 years old,Male,30000.0,Some college/university study without earning a degree
1294,United States,18 - 24 years old,Female,55000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
1304,United States,25 - 34 years old,Male,110000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
1311,United States,35 - 44 years old,Male,120000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
1313,United States,18 - 24 years old,Male,1000.0,Some college/university study without earning a degree
1316,United States,25 - 34 years old,Male,65000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
1317,United States,25 - 34 years old,Female,100000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
1321,United States,18 - 24 years old,Male,68835.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
1336,United States,35 - 44 years old,Male,150000.0,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)"
1347,United States,35 - 44 years old,Male,130000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
1362,United States,35 - 44 years old,Male,105000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
1366,United States,18 - 24 years old,Male,72380.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
1372,United States,18 - 24 years old,Male,50000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
1379,United States,25 - 34 years old,Male,60000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
1386,United States,45 - 54 years old,Male,130000.0,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
1397,United States,25 - 34 years old,Female,145000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
1400,United States,25 - 34 years old,Male,110000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
1409,United States,35 - 44 years old,Male,96000.0,Associate degree
1410,United States,25 - 34 years old,Male,79899.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
1413,United States,35 - 44 years old,Male,145000.0,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
1418,United States,45 - 54 years old,Male,96000.0,Some college/university study without earning a degree
1437,United States,25 - 34 years old,Male,57500.0,Some college/university study without earning a degree
1441,United States,25 - 34 years old,Male,72000.0,Some college/university study without earning a degree
1442,United States,25 - 34 years old,Male,65000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
1452,United States,35 - 44 years old,Male,153000.0,I never completed any formal education
1454,United States,35 - 44 years old,Male,130000.0,Some college/university study without earning a degree
1458,United States,25 - 34 years old,Male,145000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
1464,United States,35 - 44 years old,Male,90000.0,Some college/university study without earning a degree
1471,United States,35 - 44 years old,Male,150000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
1478,United States,18 - 24 years old,Female,115000.0,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
1488,United States,25 - 34 years old,Male,165000.0,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
1494,United States,18 - 24 years old,Male,60000.0,Some college/university study without earning a degree
1499,United States,35 - 44 years old,Male,83000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
1510,United States,25 - 34 years old,Male,125000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
1519,United States,18 - 24 years old,Male,50000.0,Some college/university study without earning a degree
1524,United States,18 - 24 years old,Female,78000.0,Some college/university study without earning a degree
1533,United States,25 - 34 years old,Female,140000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
1537,United States,25 - 34 years old,Male,73000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
1544,United States,35 - 44 years old,Male,130000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
1545,United States,25 - 34 years old,Male,65000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
1552,United States,25 - 34 years old,Male,48500.0,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
1553,United States,25 - 34 years old,Male,140000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
1558,United States,35 - 44 years old,Male,100000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
1564,United States,25 - 34 years old,Male,71250.0,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
1566,United States,35 - 44 years old,Male,150000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
1569,United States,35 - 44 years old,Male,58000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
1571,United States,45 - 54 years old,Male,150000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
1575,United States,18 - 24 years old,Male,1000.0,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)"
1581,United States,35 - 44 years old,Female,119000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
1583,United States,25 - 34 years old,Male,75000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
1596,United States,25 - 34 years old,Female,43000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
1604,United States,45 - 54 years old,Male,186000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
1606,United States,18 - 24 years old,Male,84500.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
1610,United States,25 - 34 years old,Male,155000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
1613,United States,25 - 34 years old,Female,64400.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
1616,United States,35 - 44 years old,Male,110000.0,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
1620,United States,35 - 44 years old,Male,190000.0,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
1623,United States,25 - 34 years old,Male,80000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
1645,United States,25 - 34 years old,Male,149000.0,"Other doctoral degree (Ph.D, Ed.D., etc.)"
1652,United States,25 - 34 years old,Male,1500.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
1653,United States,25 - 34 years old,Male,92000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
1655,United States,25 - 34 years old,Male,103000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
1664,United States,25 - 34 years old,Female,105000.0,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
1676,United States,25 - 34 years old,Male,78000.0,Some college/university study without earning a degree
1685,United States,35 - 44 years old,Male,90000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
1687,United States,35 - 44 years old,Male,100000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
1694,United States,18 - 24 years old,Male,100000.0,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)"
1733,United States,45 - 54 years old,Male,140000.0,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
1734,United States,25 - 34 years old,Male,90000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
1735,United States,25 - 34 years old,Male,78750.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
1760,United States,18 - 24 years old,Male,21000.0,Some college/university study without earning a degree
1778,United States,25 - 34 years old,Male,250000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
1782,United States,18 - 24 years old,Female,60000.0,Some college/university study without earning a degree
1801,United States,25 - 34 years old,Male,57000.0,Associate degree
1803,United States,35 - 44 years old,Male,95000.0,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
1804,United States,35 - 44 years old,Male,148000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
1815,United States,35 - 44 years old,Male,205000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
1816,United States,25 - 34 years old,"Female;Non-binary, genderqueer, or gender non-conforming",107000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
1827,United States,55 - 64 years old,Male,168000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
1830,United States,25 - 34 years old,Male,120000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
1842,United States,25 - 34 years old,Male,45500.0,Associate degree
1846,United States,25 - 34 years old,Male,57000.0,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
1848,United States,45 - 54 years old,Female,92000.0,Some college/university study without earning a degree
1849,United States,25 - 34 years old,Male,137000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
1860,United States,18 - 24 years old,Male,65650.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
1866,United States,35 - 44 years old,Male,125000.0,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
1868,United States,18 - 24 years old,Male,70000.0,"Bachelor’s degree (BA, BS, B.Eng., etc.)"
1877,United States,45 - 54 years old,Male,99000.0,"Master’s degree (MA, MS, M.Eng., MBA, etc.)"
1893,United States,25 - 34 years old,Male,72800.0,Some college/university study without earning a degree
